HRB #,District Contributor ID,Name of Historic Site or Structure,APN,Street #,Street Name,City ,Zip Code,Comm. Plan Area,Neighborhood,Date Designated ,Designation Criteria,Other Inventory Listings,Architectural Style,"Year Built",Architect and/or Builder,Historic Individ,Historic District,Staff Report Number
208,208-294,,535-431-07,2040,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1904,,,Sherman Heights Historic District,
208,208-295,,535-433-13,2129,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1908,,,Sherman Heights Historic District,
208,208-296,,535-472-01,2405,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1906,,,Sherman Heights Historic District,
208,208-297,,535-472-04,2409-15,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Craftsman influences,1912,,,Sherman Heights Historic District,
208,208-298,,535-472-05,2419,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Stick/Queen Anne,1890,,,Sherman Heights Historic District,
208,208-299,,535-471-21,2422,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1912,,,Sherman Heights Historic District,
208,208-300,,535-471-22,2430,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Craftsman Bungalow,1912,,,Sherman Heights Historic District,
208,208-301,,535-472-08,2451,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1924,,,Sherman Heights Historic District,
208,208-302,,535-471-26,2452-54,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1909,,,Sherman Heights Historic District,
208,208-303,,535-471-27,2460,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Queen Anne Cottage,1900,"John J. Fischer, contractor",,Sherman Heights Historic District,
208,208-304,,535-471-28,2462-64,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1907,"Dexter M. Slawson, contractor",,Sherman Heights Historic District,
208,208-305,,535-472-10,2465-67,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1928,,,Sherman Heights Historic District,
208,208-306,,535-471-29,2474,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1922,,,Sherman Heights Historic District,
208,208-307,,535-472-11,2473-81,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1940,,,Sherman Heights Historic District,
208,208-308,,535-471-30,2478,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1910,,,Sherman Heights Historic District,
208,208-309,,535-472-12,2483-87,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1913,,,Sherman Heights Historic District,
208,208-310,,535-471-31,2488-90,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Italianate,,,,Sherman Heights Historic District,
208,208-311,,535-471-33,2494-96,J Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Italianate,,,,Sherman Heights Historic District,
208,208-312,,535-481-06,2512,J Street,San Diego,92103,Southeastern San Diego,Sherman Heights,5/27/87,,,Italianate,,,,Sherman Heights Historic District,
208,208-313,,535-413-16,1903,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Colonial Revival,,,,Sherman Heights Historic District,
208,208-314,Paramount Apartments,535-404-06,1924,K Street,San Diego,92103,Southeastern San Diego,Sherman Heights,5/27/87,,,Spanish Colonial Revival,1927,,,Sherman Heights Historic District,
208,208-315,,535-421-01,2005,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1920,,,Sherman Heights Historic District,
208,208-316,,535-421-02,2025,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Colonial Revival,1905,,,Sherman Heights Historic District,
208,208-317,,535-421-12,2029-31,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical influences,1909,,,Sherman Heights Historic District,
208,208-318,,535-421-13,2045,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Craftsman,1909,,,Sherman Heights Historic District,
208,208-319,,535-422-01,2101-03,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Prairie influences,1912,,,Sherman Heights Historic District,
208,208-319A,Sherman Heights Apartments,535-433-05,2106,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,HRB #338,Victorian,1903,,,Sherman Heights Historic District,
208,208-320,,535-422-01,2107,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,C. 1921,,,Sherman Heights Historic District,
208,208-321,,535-433-06,2120,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Prairie,1912,,,Sherman Heights Historic District,
208,208-322,,535-433-08,2140,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1892,,,Sherman Heights Historic District,
208,208-323,,535-450-05,2235,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1906,,,Sherman Heights Historic District,
208,208-324,,535-450-06,2245,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Colonial Revival,1895,,,Sherman Heights Historic District,
208,208-325,,535-450-07,2251,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Colonial Revival,1904,,,Sherman Heights Historic District,
208,208-326,,535-450-08,2265,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Italianate,1892,,,Sherman Heights Historic District,
208,208-327,,535-472-29,2404,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Colonial Revival,1905,,,Sherman Heights Historic District,
208,208-328,,535-461-13,2405,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1937,,,Sherman Heights Historic District,
208,208-329,,535-472-26,2412,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1904,,,Sherman Heights Historic District,
208,208-330,,535-461-12,2411-17,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Prairie,C. 1911-1921,,,Sherman Heights Historic District,
208,208-331,,535-461-11,2419,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1912,,,Sherman Heights Historic District,
208,208-332,,535-461-09,2435,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1910,,,Sherman Heights Historic District,
208,208-333,,535-461-08,2439-47,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Prairie,C. 1905-1921,,,Sherman Heights Historic District,
208,208-334,,535-472-23,2440-44,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Mission Revival influences,1927,,,Sherman Heights Historic District,
208,208-335,,535-461-07,2453-55,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Queen Anne,C. 1905-1910,,,Sherman Heights Historic District,
208,208-336,,535-461-06,2463,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical influences,C. 1905-1921,,,Sherman Heights Historic District,
208,208-337,,535-461-05,2467-69 1/2,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical influences,C. 1905-1921,,,Sherman Heights Historic District,
208,208-338,,535-461-04,2473-75,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Craftsman,C. 1905-1921,,,Sherman Heights Historic District,
208,208-339,,535-482-20,2502-22,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,C. 1900,,,Sherman Heights Historic District,
208,208-340,,535-491-03,2511,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Craftsman Bungalow,C. 1910-1921,,,Sherman Heights Historic District,
208,208-341,,535-491-03,2515,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,C. 1900,,,Sherman Heights Historic District,
208,208-342,,535-413-15,1918,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Spanish Colonial Revival,1924,,,Sherman Heights Historic District,
208,208-343,,535-242-11-01,2027,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,C. 1902-1921,,,Sherman Heights Historic District,
208,208-344,,535-421-08,2028-30,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,C. 1921,,,Sherman Heights Historic District,
208,208-345,,535-422-06,2106,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1894,"John B. Stannard, architect",,Sherman Heights Historic District,
208,208-346,,535-423-01,2119,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,HRB# 165,Folk Victorian,1887,,,Sherman Heights Historic District,
208,208-347,,535-422-07,2136,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Queen Anne influences,1907,,,Sherman Heights Historic District,
208,208-348,,535-422-08,2144,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Colonial Revival,1908,,,Sherman Heights Historic District,
208,208-349,,535-450-18,2210,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Colonial Revival,1947,,,Sherman Heights Historic District,
208,208-350,,535-651-03,"2213, 2219",L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,C. 1905,,,Sherman Heights Historic District,
208,208-351,,535-651-05,"2231, 2233",L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1905,,,Sherman Heights Historic District,
208,208-352,,535-450-14,2242,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1905,,,Sherman Heights Historic District,
208,208-353,,535-651-08,2255,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1893,,,Sherman Heights Historic District,
208,208-354,,535-450-13,2252-58,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1902,,,Sherman Heights Historic District,
208,208-355,,535-450-12,2264,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1903,,,Sherman Heights Historic District,
208,208-356,,535-651-09,2263-71,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Queen Anne,1903,,,Sherman Heights Historic District,
208,208-357,,535-651-10,2279,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1903,,,Sherman Heights Historic District,
208,208-358,,535-462-01,2405-07,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Transitional Bungalow,C. 1905-1921,,,Sherman Heights Historic District,
208,208-359,,535-461-17,2412,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1906,,,Sherman Heights Historic District,
208,208-360,,535-461-18,2422,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Craftsman,1905,,,Sherman Heights Historic District,
208,208-361,,"535-462-07:535-462-09",2427- 29,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1906,,,Sherman Heights Historic District,
208,208-362,,535-462-09,2435,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Spanish Colonial Revival,C. 1921-1926,,,Sherman Heights Historic District,
208,208-363,,535-461-20,2434-36,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1908,,,Sherman Heights Historic District,
208,208-364,,535-462-10,2437,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Spanish Eclectic,1937,,,Sherman Heights Historic District,
208,208-365,,535-462-10,2439,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,C. 1905-1921,,,Sherman Heights Historic District,
208,208-366,,535-462-11,2441,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,C. 1905-1921,,,Sherman Heights Historic District,
208,208-367,,535-462-13,2455-57,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical/Traditional,C. 1905-1921,,,Sherman Heights Historic District,
208,208-368,,535-461-34,"2452, 2456",L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1910,,,Sherman Heights Historic District,
208,208-369,,535-462-14,2461,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1908,,,Sherman Heights Historic District,
208,208-370,,535-462-15,2467,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1907,,,Sherman Heights Historic District,
208,208-371,,535-462-16,"2475, 2477 1/2",L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1906,,,Sherman Heights Historic District,
208,208-372,,"535-461-25, 535-461-26","2480, 2482",L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1910,,,Sherman Heights Historic District,
208,208-373,,535-461-27,2488,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Mission Revival,1905,"Irving Gill, architect",,Sherman Heights Historic District,
208,208-374,,535-492-11,2509,L Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Craftsman,C. 1910-1921,,,Sherman Heights Historic District,
208,208-375,,535-414-07,1932,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1905,,,Sherman Heights Historic District,
208,208-376,,535-651-21,2220,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1892,,,Sherman Heights Historic District,
208,208-377,,535-651-19,2236,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1912,,,Sherman Heights Historic District,
208,208-378,,535-651-20,2228,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1905,,,Sherman Heights Historic District,
208,208-379,,535-651-18,2244,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1912,,,Sherman Heights Historic District,
208,208-380,,535-651-17,2248,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1906,,,Sherman Heights Historic District,
208,208-381,,535-651-14,2264,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Folk Victorian,1900,,,Sherman Heights Historic District,
208,208-382,,535-462-33,2402,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,1908,,,Sherman Heights Historic District,
208,208-383,,535-462-30,2412,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Neoclassical,C. 1905-1921,,,Sherman Heights Historic District,
208,208-384,,535-462-30,2416,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1937,,,Sherman Heights Historic District,
208,208-385,,535-462-29,2424,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1921,,,Sherman Heights Historic District,
208,208-386,,535-462-27,2442-44,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Bungalow,1912,"Clinton J. Kurtz, builder",,Sherman Heights Historic District,
208,208-387,,535-462-23,2468-70,Imperial Avenue,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,,Craftsman,1912,"Clinton J. Kurtz, builder",,Sherman Heights Historic District,
208,208-388,The Sherman Hearns House,535-211-01,633,20th Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,HRB #160,Victorian,1887,,,Sherman Heights Historic District,
208,208-389,Hollington House,535-423-01,171,21st Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,HRB #165,Victorian,1887,,,Sherman Heights Historic District,
208,208-390,Villa Montezuma,535-413-13,1925,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,5/27/87,,"NR 1971-05-06;H.A.B.S. #432, 01/22/1965; HRB# 11",Eclectic Victorian,1887,"Comstock and Trotshe, architects ",,,
209,,Marston Department Store,533-525-07,1050-1058,Fifth Avenue,San Diego,92101,Centre City,Core,6/24/87,,,,1896,,,,
210,,McCormick/Hartfield Timberlake Christian House,533-282-06,1916,Third Avenue,San Diego,92101,Uptown,Middletown,10/28/87,,,,1893,,,,
211,,Quince Street Footbridge,,300 Block,Quince Street,San Diego,92103,Uptown,Middletown,10/28/87,,,,1905,,,,
212,,Casa de Manana - Casa Madre,350-060-03,849,Coast Boulevard,San Diego,92037,La Jolla,La Jolla,12/2/87,,,,1924,Edgar Ulrich,,,
213,,Casa de Manana,350-060-03,"722, 809 & 825",Coast Boulevard,San Diego,92037,La Jolla,La Jolla,12/2/87,,,,1924,Edgar Ulrich,,,
214,,George L. Davenport Residence,534-385-10,828-830,23rd Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/2/87,,,,1886,,,,
215,,Sandford Hotel,533-453-03,1301-1323,5th Avenue,San Diego,92101,Centre City,Cortez,12/2/87,,,,1914,,,,
216,,Edmund E. Parmelee Residence,534-385-07,805,22nd Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/2/87,,,,1893,,,,
217,217 001-048,Grant Hill Park Historic District,Various,Various,Various,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,,1906,,,Grant Hill Park Historic District,
217,217-001,,535-510-02,337,26th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman influences,1906,,,Grant Hill Park Historic District, 
217,217-002,,535-501-01,234,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,"Willard H. Kirby, contractor",,Grant Hill Park Historic District,
217,217-003,,535-501-03,244,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,"Willard H. Kirby, contractor",,Grant Hill Park Historic District,
217,217-004,,535-541-01,245,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Neoclassical Transitional,1902,,,Grant Hill Park Historic District,
217,217-005,,535-501-04,248,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,"Willard H. Kirby, contractor",,Grant Hill Park Historic District,
217,217-006,,535-531-10,335-337,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,,,,Grant Hill Park Historic District,
217,217-007,,535-531-09,345,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1922,,,Grant Hill Park Historic District,
217,217-008,,535-531-07,405,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Queen Anne,1900,,,Grant Hill Park Historic District,
217,217-009,,535-531-06,409,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Neoclassical Transitional,1907,,,Grant Hill Park Historic District,
217,217-010,,535-531-05,417,27th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Carpenter Gothic,1905,,,Grant Hill Park Historic District,
217,217-011,,535-283-07,2629,Island Avenue,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman,1922,,,Grant Hill Park Historic District,
217,217-012,,535-282-15,2630,Island Avenue,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Neoclassical,1907,,,Grant Hill Park Historic District,
217,217-013,,535-520-04,2639,Island Avenue,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Spanish Colonial Revival,1936,,,Grant Hill Park Historic District,
217,217-014,,535-520-05,2647,Island Avenue,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Spanish Colonial Revival,1927,,,Grant Hill Park Historic District,
217,217-015,,535-520-06,2651,Island Avenue,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Spanish Colonial Revival,1927,,,Grant Hill Park Historic District,
217,217-016,,535-282-12,2670,Island Avenue,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1907,,,Grant Hill Park Historic District,
217,217-017,,535-282-11,2676,Island Avenue,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Neoclassical,1908,,,Grant Hill Park Historic District,
217,217-018,,535-482-09,2543,J Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Colonial Revival,,,,Grant Hill Park Historic District,
217,217-019,,535-482-06,2565,J Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1923,,,Grant Hill Park Historic District,
217,217-020,,535-482-05,2569,J Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Bungalow,1926,,,Grant Hill Park Historic District,
217,217-021,,535-482-04,2575,J Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1923,,,Grant Hill Park Historic District,
217,217-022,,535-510-06,2627-2629,J Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Spanish Colonial Revival,1924,,,Grant Hill Park Historic District,
217,217-023,,535-510-08,2643,J Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Mission Revival influences,1910,"Walter S. Wheeler, contractor",,Grant Hill Park Historic District,
217,217-024,,535-491-12,2535,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Neoclassical,1906,,,Grant Hill Park Historic District,
217,217-025,,535-491-13,2551,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman influences,1906,,,Grant Hill Park Historic District,
217,217-026,,535-491-15,2563,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Neoclassical,1906,"Oscar D. Schelhorse and Solomon Fuller, contractors",,Grant Hill Park Historic District,
217,217-027,,535-491-16,2567,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Bungalow,1905,,,Grant Hill Park Historic District,
217,217-028,,535-482-31,2568,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
217,217-029,,535-482-36,2580,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Spanish Colonial Revival,1928,,,Grant Hill Park Historic District,
217,217-030,,535-510-35,2602,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
217,217-031,,535-510-34,2606,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
217,217-032,,535-510-33,2616,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
217,217-033,,535-501-13,2619,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Spanish Eclectic,1928,,,Grant Hill Park Historic District,
217,217-034,,535-501-12,2623,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Spanish Eclectic,1928,,,Grant Hill Park Historic District,
217,217-035,,535-510-32,2624,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
217,217-036,,535-510-31,2630,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Bungalow,1912,,,Grant Hill Park Historic District,
217,217-037,,535-510-30,2634,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Bungalow,1912,,,Grant Hill Park Historic District,
217,217-038,,535-510-29,2642,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman,1912,,,Grant Hill Park Historic District,
217,217-039,,535-501-08,2653,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1925,,,Grant Hill Park Historic District,
217,217-040,,535-510-27,2656,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
217,217-041,,535-510-26,2660,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
217,217-042,,535-501-05,2675,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1927,,,Grant Hill Park Historic District,
217,217-043,,535-510-24,2676,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Bungalow,1912,,,Grant Hill Park Historic District,
217,217-044,,535-510-22,2688,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
217,217-045,,535-510-21,2694,K Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Bungalow,1912,,,Grant Hill Park Historic District,
217,217-046,Grant Hill Park,,2600,J Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Park,,,,Grant Hill Park Historic District,
217,217-047,Camphor Tree,,2600,J Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Camphor Tree,,,,Grant Hill Park Historic District,
217,217-048,Italian Stone Pine,535-541-34,2736,L Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,HRB#222,Italian Stone Pine Tree,,,,Grant Hill Park Historic District,
218,,Frank Zinnel House,535-290-01,643,26th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Mission Revival,1913,,,Grant Hill Park Historic District,
219,,Claus A. Johnson Commercial Building,535-502-32,2602-2608,Imperial Avenue,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Italianate,C. 1904-1908,,,Grant Hill Park Historic District,
220,,Newby-Whitney House,535-290-03,629,26th Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Craftsman Bungalow,1912,,,Grant Hill Park Historic District,
221,,Strandlund Family Residence,535-531-22,402,Langley Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Spanish Colonial Revival,1926,"Paul V. Strandlund, plasterer",,Grant Hill Park Historic District,
222,217-048,Italian Stone Pine ,535-541-34,2736,L Street,San Diego,92102,Southeastern San Diego,Grant Hill,2/24/88,,,Italian Stone Pine,,,,Grant Hill Park Historic District,
223,,Aztec Brewery Artwork,538-790-04,2371,Main Street,San Diego,92102,Barrio Logan,Barrio Logan,3/23/88,,,,1934,,,,
224,,Holzwasser/Walker-Scott Building,533-525-05,1014,Fifth Avenue,San Diego,92101,Centre City,Core,4/27/88,,NR 2005-02-27,,1919-20,,,,
225,,Citrus/Pacific Soap Factory,535-041-04,301,West Market Street,San Diego,92101,Centre City,Marina,5/25/88,,,,1921,William Wheeler,,,
226,,Morgan-Larkins-Marrone Residence,351-131-10,7148-7150,Monte Vista Avenue,San Diego,92037,La Jolla,La Jolla,5/25/88,"C (Architecture):D (Master Architect)",,English Tudor Revival,1931 & 1935,"Edgar V. Ullrich, Master Architect, Charles D. Larkin, builder",,,
227,,William Mason Fortescue Residence,452-554-20,3300,Third Avenue,San Diego,92103,Uptown,Middletown,6/22/88,,,,1909,,,,
228,,La Jolla Public Library,350-091-17,1006,Wall Street,San Diego,92037,La Jolla,La Jolla,7/27/88,,,,1921,William Templeton Johnson,,,
